id	status	decision	task	done_when	checkpoint	artifact	next	notes
0	done	keep	Record baseline/current state	Curate the lecture media catalog by visually reviewing image assets, reading their source document context, removing duplicate or useless entries, and replacing heuristic descriptions with context-grounded Korean one-line descriptions.	ea00dc8	baseline inspected: 8175 raw image rows, 6694 with assets, 2432 generic heuristic descriptions, 2 remote download errors	goal_log.py add --task ... to queue the first implementation row	Initialized goal plan at 2026-06-28T05:38:16+00:00
1	done	keep	Build first-pass curated catalog generator and validator	tools/curate_media_catalog.py and tools/validate_curated_media_catalog.py create/check lecture-media/curated artifacts with all raw rows classified	ea00dc8	draft ok: raw=8175 keep=3339 duplicate=1636 drop=3200 reviewed=489	Generate first-pass decisions from hashes/assets/source context	
2	done	keep	Visually inspect representative contact sheets and seed semantic review	semantic-review.tsv contains visually inspected examples for keep/duplicate/drop with source-context rationale	ea00dc8	semantic-review.tsv reviewed rows=14 decisions={'drop':1,'keep':12,'duplicate':1}; contact sheet candidate-001 visually inspected	Open generated contact sheets and update reviewed decisions	
3	done	keep	Batch-review remaining kept canonical images by source cluster	At least one additional source cluster contact sheet is visually reviewed, manual-review.tsv grows with context-grounded Korean descriptions, and --draft-check still passes	4c51f5d	draft ok: raw=8175 keep=3340 duplicate=1636 drop=3199 reviewed=41; semantic-review decisions={'drop':3,'keep':37,'duplicate':1}; final blocker unreviewed_keep=3303	Use the next generated candidate contact sheet and source markdown/PDF context to review another batch	Current final proof blocker after this batch: 3303 kept canonical images remain unreviewed.
4	done	keep	Continue visual/context review on next candidate sheet	Another contact sheet batch is visually reviewed, manual-review.tsv adds context-grounded Korean decisions/descriptions, and --draft-check passes with fewer unreviewed keeps	bc1cb83	draft ok: raw=8175 keep=3340 duplicate=1636 drop=3199 reviewed=69; semantic-review decisions={'drop':3,'keep':65,'duplicate':1}; final blocker unreviewed_keep=3275	Open regenerated lecture-media/curated/review-sheets/candidate-001.jpg and map the first unreviewed keep rows to source context	
5	done	keep	Review next Toy Models/source-cluster batch	Next candidate sheet batch, starting from Toy Models of Superposition, is visually reviewed with source-context Korean descriptions and --draft-check passes with fewer unreviewed keeps	b4602a7	draft ok: raw=8175 keep=3340 duplicate=1636 drop=3199 reviewed=108; final blocker unreviewed_keep=3236	Open regenerated candidate-001.jpg and review the first unreviewed Toy Models rows	
6	done	keep	Review next Interpretability Dreams and update source-cluster batch	Next candidate sheet batch after Toy Models is visually reviewed with source-context Korean descriptions and --draft-check passes with fewer unreviewed keeps	7a2123d	draft ok: raw=8175 keep=3339 duplicate=1636 drop=3200 reviewed=130; final blocker unreviewed_keep=3214	Open regenerated candidate-001.jpg and review Interpretability Dreams, July Update, and adjacent source rows	Current final proof blocker after Toy Models batch: 3236 kept canonical images remain unreviewed.
7	done	keep	Review next Towards Monosemanticity candidate batch	A substantial Monosemanticity contact sheet batch is visually reviewed with source-context Korean descriptions and --draft-check passes with fewer unreviewed keeps	86fe3c3	draft ok: raw=8175 keep=3339 duplicate=1636 drop=3200 reviewed=190; final blocker unreviewed_keep=3154	Open regenerated candidate-001.jpg and map the first Monosemanticity rows to source context	Current final proof blocker after Interpretability/updates batch: 3214 kept canonical images remain unreviewed.
8	done	keep	Continue remaining Monosemanticity visual/context review	Another Monosemanticity contact sheet batch is visually reviewed with Korean source-context descriptions and --draft-check passes with fewer unreviewed keeps	ebdacc9	draft ok: raw=8175 keep=3339 duplicate=1636 drop=3200 reviewed=249; final blocker unreviewed_keep=3095	Open regenerated candidate-001.jpg and continue from the next Monosemanticity rows after img-060	Current final proof blocker after first Monosemanticity batch: 3154 kept canonical images remain unreviewed.
9	done	keep	Review next August 2024 and subsequent candidate media batch	The next candidate sheet batch starting at August 2024 is visually reviewed with Korean source-context descriptions and --draft-check passes with fewer unreviewed keeps	16e823f	draft ok: raw=8175 keep=3339 duplicate=1636 drop=3200 reviewed=309; final blocker unreviewed_keep=3035	Open regenerated candidate-001.jpg and continue from Circuits Updates - August 2024	Current final proof blocker after row 8: 3095 kept canonical images remain unreviewed.
10	done	keep	Review next June 2024 and subsequent candidate media batch	The next candidate sheet batch after June 2024 is visually reviewed with Korean source-context descriptions and --draft-check passes with fewer unreviewed keeps	f261fb8	draft ok: raw=8175 keep=3339 duplicate=1636 drop=3200 reviewed=369; final blocker unreviewed_keep=2975	Open regenerated candidate-001.jpg and continue from Circuits Updates - June 2024 remaining rows	Current final proof blocker after row 9: 3035 kept canonical images remain unreviewed.
11	done	keep	Review next Scaling Monosemanticity and September 2024 media batch	The next candidate sheet after scaling-monosemanticity img-043 is visually reviewed with Korean source-context descriptions and draft-check passes with fewer unreviewed keeps.	d412a39	draft ok: raw=8175 keep=3339 duplicate=1636 drop=3200 reviewed=429; final blocker unreviewed_keep=2915	Open regenerated lecture-media/curated/review-sheets/candidate-001.jpg and continue from scaling-monosemanticity img-044 into September 2024.	Current final proof blocker after row 10: 2975 kept canonical images remain unreviewed.
12	done	keep	Review next Interference Weights and subsequent media batch	The next candidate sheet after interference-weights img-007 is visually reviewed with Korean source-context descriptions and draft-check passes with fewer unreviewed keeps.	b56cb5d	draft ok: raw=8175 keep=3339 duplicate=1636 drop=3200 reviewed=489; final blocker unreviewed_keep=2855	Open regenerated lecture-media/curated/review-sheets/candidate-001.jpg and continue from interference-weights img-008.	Current final proof blocker after row 11: 2915 kept canonical images remain unreviewed.
13	done	keep	Review next linebreaks and subsequent media batch	The next candidate sheet after linebreaks img-038 is visually reviewed with Korean source-context descriptions and draft-check passes with fewer unreviewed keeps.	94d31e3	draft ok: raw=8175 keep=3336 duplicate=1565 drop=3274 reviewed=549; final blocker: unreviewed_keep=2795 generic_keep=2795 review_decisions=['drop', 'duplicate', 'keep']	Open regenerated lecture-media/curated/review-sheets/candidate-001.jpg and continue from linebreaks img-039.	Current final proof blocker after row 12: 2855 kept canonical images remain unreviewed.
14	done	keep	Review next Claude Sonnet 4.5 System Card PDF media batch	The next candidate sheet batch starting at Sonnet 4.5 System Card PDF image 17 is visually inspected, context checked, regenerated, and draft-check passes.	96cc76b	draft ok: raw=8175 keep=3324 duplicate=1534 drop=3317 reviewed=609; final blocker: unreviewed_keep=2735 generic_keep=2735 review_decisions=['drop', 'duplicate', 'keep']	Open regenerated lecture-media/curated/review-sheets/candidate-001.jpg, read System Card page context, and continue manual-review.tsv from the first unreviewed PDF image.	Current final proof blocker after row 13: unreviewed_keep=2795 generic_keep=2795.
15	done	keep	Review next Sonnet 4.5 System Card and subsequent PDF media batch	The next candidate sheet batch starting at Sonnet 4.5 System Card PDF image 79 is visually inspected, context checked, regenerated, and draft-check passes.	c9efbfb	draft ok: raw=8175 keep=3300 duplicate=1431 drop=3444 reviewed=669; final blocker unreviewed_keep=2675 generic_keep=2675	Open regenerated lecture-media/curated/review-sheets/candidate-001.jpg, read PDF page context, and continue manual-review.tsv from the first unreviewed image.	Current final proof blocker after row 14: unreviewed_keep=2735 generic_keep=2735.
16	done	keep	Review remaining Claude 3 Addendum tail and next Economic Tasks AI Paper media batch	The next candidate sheet batch starting with remaining Claude 3 Addendum fragments and Economic Tasks AI Paper images is visually reviewed, source context checked, and reflected in manual-review.tsv.	6184af7	draft ok: raw=8175 keep=3280 duplicate=1375 drop=3520 reviewed=729; final blocker unreviewed_keep=2615 generic_keep=2615	Open regenerated lecture-media/curated/review-sheets/candidate-001.jpg and inspect original PDF contexts for the first unreviewed keep candidates.	
17	done	keep	Review remaining Economic Tasks tail and next Sabotage Evaluations media batch	The next candidate sheet batch starting with Economic Tasks tail and Sabotage Evaluations figures is visually reviewed, source context checked, and reflected in manual-review.tsv.	3686c59	draft ok: raw=8175 keep=3258 duplicate=1311 drop=3606 reviewed=789; final blocker unreviewed_keep=2555 generic_keep=2555	Open regenerated lecture-media/curated/review-sheets/candidate-001.jpg and inspect Economic Tasks tail plus Sabotage Evaluations PDF context.	
18	done	keep	Review next SHADE-Arena appendix and remaining PDF media batch	The next candidate sheet batch starting at SHADE-Arena img-037 is visually inspected, source context checked, regenerated, and draft-check passes.	e1f3d22	draft ok: raw=8175 keep=3231 duplicate=1278 drop=3666 reviewed=849; final blocker unreviewed_keep=2495 generic_keep=2495	Open regenerated lecture-media/curated/review-sheets/candidate-001.jpg and inspect SHADE-Arena appendix PDF context for the first unreviewed images.	Current final proof blocker after row 17: unreviewed_keep=2555 generic_keep=2555.
19	done	keep	Continue Claude 3 Model Card PDF media review	The next candidate sheet batch starting at Claude 3 Model Card img-025 is visually inspected, source context checked, regenerated, and draft-check passes.	32f3b30	draft ok: raw=8175 keep=3203 duplicate=1217 drop=3755 reviewed=909; final blocker unreviewed_keep=2435 generic_keep=2435	Open regenerated lecture-media/curated/review-sheets/candidate-001.jpg and inspect Claude 3 Model Card PDF context from image 25 onward.	Current final proof blocker after row 18: unreviewed_keep=2495 generic_keep=2495.
20	done	keep	Continue Claude Opus 4.5 System Card PDF media review	The next candidate sheet batch starting at Claude Opus 4.5 System Card img-018 is visually inspected, source context checked, regenerated, and draft-check passes.	cbfa360	draft ok: raw=8175 keep=3192 duplicate=1189 drop=3794 reviewed=969; final blocker unreviewed_keep=2375 generic_keep=2375	Open regenerated lecture-media/curated/review-sheets/candidate-001.jpg and inspect Claude Opus 4.5 System Card PDF context from image 18 onward.	Current final proof blocker after row 19: unreviewed_keep=2435 generic_keep=2435.
21	done	keep	Review Opus 4.5 System Card tail and enterprise ebook media batch	The next candidate sheet batch starting at Claude Opus 4.5 System Card img-091 and continuing into Anthropic enterprise ebook images is visually inspected, source context checked, regenerated, and draft-check passes.	8fc0542	draft ok: raw=8175 keep=3164 duplicate=1182 drop=3829 reviewed=1029; final blocker unreviewed_keep=2315 generic_keep=2315	Open regenerated lecture-media/curated/review-sheets/candidate-001.jpg and inspect Opus 4.5 System Card tail plus Anthropic enterprise ebook PDF context.	Current final proof blocker after row 20: unreviewed_keep=2375 generic_keep=2375.
22	done	keep	Review reward hacking paper tail and Claude 3.7 Sonnet System Card media batch	The next candidate sheet batch starting at Natural emergent misalignment from reward hacking paper img-003 and continuing into Claude 3.7 Sonnet System Card images is visually inspected, source context checked, regenerated, and draft-check passes.	966349d	draft ok: raw=8175 keep=3143 duplicate=1089 drop=3943 reviewed=1089; final blocker unreviewed_keep=2255 generic_keep=2255	Open regenerated lecture-media/curated/review-sheets/candidate-001.jpg and inspect reward hacking paper tail plus Claude 3.7 Sonnet System Card PDF context.	Reviewed reward hacking paper tail, Claude 3.7 Sonnet System Card, Alignment Faking first figures, Haiku 4.5 System Card audit figures, and Confidential Inference logo fragments.
23	done	keep	Review Confidential Inference and AI-orchestrated cyber espionage PDF media batch	The next candidate sheet batch starting at Confidential Inference Paper image 100 and continuing into AI-orchestrated cyber espionage PDF images is visually inspected, source context checked, regenerated, and draft-check passes.	dcbff3b	draft ok: raw=8175 keep=3126 duplicate=1018 drop=4031 reviewed=1149; final blocker unreviewed_keep=2195 generic_keep=2195	Open regenerated lecture-media/curated/review-sheets/candidate-001.jpg and inspect Confidential Inference Paper plus AI-orchestrated cyber espionage PDF context.	Current final proof blocker after row 22: unreviewed_keep=2255 generic_keep=2255.
24	done	keep	Continue Claude Mythos Preview System Card media batch	The next candidate sheet batch starting at Claude Mythos Preview System Card image 101 is visually inspected, source context checked, regenerated, and draft-check passes.	a13c6ae	draft ok: raw=8175 keep=3116 duplicate=983 drop=4076 reviewed=1209; final blocker unreviewed_keep=2135 generic_keep=2135	Open regenerated lecture-media/curated/review-sheets/candidate-001.jpg and inspect Claude Mythos Preview System Card images from image 101 onward.	Reviewed Claude Mythos Preview System Card image 101 batch; dropped blank/header/legend fragments and kept context-grounded figures through SimpleQA/AA-Omniscience factuality.
25	done	keep	Continue Claude Mythos Preview System Card factuality and safety appendix media batch	The next candidate sheet batch starting at Claude Mythos Preview System Card image 47 is visually inspected, source context checked, regenerated, and draft-check passes.	bace029	draft ok: raw=8175 keep=3105 duplicate=958 drop=4112 reviewed=1269; final blocker unreviewed_keep=2075 generic_keep=2075	Open regenerated lecture-media/curated/review-sheets/candidate-001.jpg and inspect Claude Mythos Preview System Card images from image 47 onward.	Reviewed Claude Mythos Preview factuality, deception, evaluation-awareness, welfare, emotion, affect figures plus Economic Index blank/word-cloud starters; removed 11 blank/title-only artifacts.
26	done	keep	Review next Economic Index report media batch	The next candidate sheet batch starting at Economic Index report image 10 is visually inspected, source context checked, regenerated, and draft-check passes.	c896ccf	draft ok: raw=8175 keep=3098 duplicate=947 drop=4130 reviewed=1329; final blocker unreviewed_keep=2015 generic_keep=2015	Open regenerated lecture-media/curated/review-sheets/candidate-001.jpg and continue manual-review.tsv from pdf:www-cdn.anthropic.com/096d94c1a91c6480806d8f24b2344c7e2a4bc666.pdf:10.	Reviewed Economic Index word-cloud/blank artifacts and Claude Opus 4.6 System Card capability, honesty, audit, attribution, sabotage, and evaluation-awareness figures; removed 7 blank/gradient artifacts.
27	done	keep	Continue Claude Opus 4.6 System Card media batch	The next candidate sheet batch starting at Claude Opus 4.6 System Card image 59 is visually inspected, source context checked, regenerated, and draft-check passes.	16ff73f	draft ok: raw=8175 keep=3097 duplicate=946 drop=4132 reviewed=1389; final blocker unreviewed_keep=1955 generic_keep=1955	Open regenerated lecture-media/curated/review-sheets/candidate-001.jpg and continue manual-review.tsv from pdf:www-cdn.anthropic.com/0dd865075ad3132672ee0ab40b05a53f14cf5288.pdf:59.	Reviewed Claude Opus 4.6 tail, Responsible Scaling Policy diagrams, and first Claude Fable/Mythos 5 System Card figures; removed 1 blank artifact.
28	done	keep	Continue Claude Fable/Mythos 5 System Card media batch	The next candidate sheet batch starting at Claude Fable/Mythos 5 System Card image 112 is visually inspected, source context checked, regenerated, and draft-check passes.	2af74ca	draft ok: raw=8175 keep=3096 duplicate=946 drop=4133 reviewed=1449; final blocker unreviewed_keep=1895 generic_keep=1895	Open regenerated lecture-media/curated/review-sheets/candidate-001.jpg and continue manual-review.tsv from pdf:www-cdn.anthropic.com/2f9323abbcc4abe219577539efe19a623c9ca2bd/Claude%20Fable%205%20&%20Claude%20Mythos%205%20System%20Card.pdf:112.	Reviewed Claude Fable/Mythos 5 System Card welfare, constitution, capabilities, multi-agent, multimodal, healthcare, multilingual, and life sciences figures; removed 1 title-only artifact.
29	done	keep	Continue Claude Fable/Mythos 5 System Card remaining media batch	The next candidate sheet batch starting at Claude Fable/Mythos 5 System Card image 167 is visually inspected, source context checked, regenerated, and draft-check passes.	ce22a60	draft ok: raw=8175 keep=3091 duplicate=938 drop=4146 reviewed=1509; final blocker unreviewed_keep=1835 generic_keep=1835	Open regenerated lecture-media/curated/review-sheets/candidate-001.jpg and continue manual-review.tsv from pdf:www-cdn.anthropic.com/2f9323abbcc4abe219577539efe19a623c9ca2bd/Claude%20Fable%205%20&%20Claude%20Mythos%205%20System%20Card.pdf:167.	Reviewed Fable/Mythos 5 System Card biology, political bias, prompt injection, behavioral audit, honesty, hallucination, NLA, and grader-awareness figures; removed 5 blank/title-only artifacts.
30	done	keep	Continue Claude Fable/Mythos 5 System Card final safety media batch	The next candidate sheet batch starting at Claude Fable/Mythos 5 System Card image 79 is visually inspected, source context checked, regenerated, and draft-check passes.	45a4b64	draft ok: raw=8175 keep=3062 duplicate=934 drop=4179 reviewed=1569; final blocker unreviewed_keep=1775 generic_keep=1775	Open regenerated lecture-media/curated/review-sheets/candidate-001.jpg and continue manual-review.tsv from pdf:www-cdn.anthropic.com/2f9323abbcc4abe219577539efe19a623c9ca2bd/Claude%20Fable%205%20&%20Claude%20Mythos%205%20System%20Card.pdf:79.	Reviewed Fable/Mythos 5 final safety/evaluation-awareness figures, Claude on Vertex AI texture artifacts, Mythos Preview ECI/math/vision figures, Claude v2 model-card charts, and CCAI cover art; removed 29 blank/decorative artifacts.
31	done	keep	Review CCAI public comparison and next PDF media batch	The next candidate sheet batch starting at CCAI public comparison image 2 is visually inspected, source context checked, regenerated, and draft-check passes.	99d6029	draft ok: raw=8175 keep=3054 duplicate=935 drop=4186 reviewed=1629; final blocker unreviewed_keep=1715 generic_keep=1715	Open regenerated lecture-media/curated/review-sheets/candidate-001.jpg and continue manual-review.tsv from pdf:www-cdn.anthropic.com/65408ee2b9c99abe53e432f300e7f43ef69fb6e4/CCAI_public_comparison_2023.pdf:2.	Reviewed remaining CCAI cover art, AI Diffusion Framework charts, Constitutional AI Elo plot panels, and Claude Sonnet 4.6 capability/safety/CBRN/AI R&D figures; removed 7 decorative/blank/tiny artifacts and deduplicated 1 alternate Terminal-Bench rendering.
32	done	keep	Continue Claude Sonnet 4.6 System Card final media batch	The next candidate sheet batch starting at Claude Sonnet 4.6 System Card image 61 is visually inspected, source context checked, regenerated, and draft-check passes.	38993d6	draft ok: raw=8175 keep=3046 duplicate=869 drop=4260 reviewed=1689; final blocker unreviewed_keep=1655 generic_keep=1655	Open regenerated lecture-media/curated/review-sheets/candidate-001.jpg and continue manual-review.tsv from pdf:www-cdn.anthropic.com/78073f739564e986ff3e28522761a7a0b4484f84.pdf:61.	Reviewed Claude Sonnet 4.6 appendix AI R&D/cyber/audit plots, red teaming and CoT faithfulness paper figures, Mythos ECI, many-shot jailbreaking diagrams, threat intelligence screenshots, support/companionship appendix charts, Claude 3 long-context charts, and productivity-impact figures; removed 8 blank/tiny logo artifacts.
33	done	keep	Continue productivity gains and next PDF media batch	The next candidate sheet batch starting at productivity gains PDF image 9 is visually inspected, source context checked, regenerated, and draft-check passes.	9678fe7	draft ok: raw=8175 keep=2987 duplicate=798 drop=4390 reviewed=1749; final blocker unreviewed_keep=1595 generic_keep=1595	Open regenerated lecture-media/curated/review-sheets/candidate-001.jpg and continue manual-review.tsv from pdf:www-cdn.anthropic.com/e5645986a7ce8fbcc48fa6d2fc67753c87642c30.pdf:9.	Reviewed productivity gains appendix Figure 10, financial-industry guide connector logo wall fragments, privacy notice wordmarks, and event decorative SVGs; kept 1 macro productivity chart and removed 59 logo/decorative fragments.
34	done	keep	Continue event SVG and next media batch	The next candidate sheet batch starting at Middle East event header SVG is visually inspected, source context checked, regenerated, and draft-check passes.	46c59a0	draft ok: raw=8175 keep=2938 duplicate=793 drop=4444 reviewed=1809; final blocker unreviewed_keep=1535 generic_keep=1535	Open regenerated lecture-media/curated/review-sheets/candidate-001.jpg and continue manual-review.tsv from remote:https://cdn.prod.website-files.com/67ce28cfec624e2b733f8a52/682558e882ac8a8bb8f677fd_events-header_middle-east.svg.	Reviewed event regional SVGs, briefing icons/headshots, Claude agents/coding/life-sciences/skills/Chrome visuals; kept 11 product or workflow screenshots/guide visuals and removed 49 decorative/headshot/marketing fragments.
35	done	keep	Continue enterprise rollout and next remote media batch	The next candidate sheet batch starting at enterprise rollout mobile artifact is visually inspected, source context checked, regenerated, and draft-check passes.	7790301	draft ok: raw=8175 keep=2910 duplicate=792 drop=4473 reviewed=1869; final blocker unreviewed_keep=1475 generic_keep=1475	Open regenerated lecture-media/curated/review-sheets/candidate-001.jpg and continue manual-review.tsv from remote:https://cdn.prod.website-files.com/6889473510b50328dbb70ae6/696ab3c6f49d2f3d81e10a69_artifact_enterprise-rollout-mobile.webp.	Reviewed enterprise rollout, healthcare triage, Cowork, Claude Code enterprise, import/memory, security, life-sciences, legal, small-business, AWS, and enterprise workflow visuals; kept 32 product/workflow visuals and removed 28 headshot/decorative/video/logo/control thumbnails.
